,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,20.5,18.5,17.2,39.2,21.1,35.9,24.3,53.4,40.2,44.6,73.7,112.1,27.9,38.3,77.2,48.1,58.1,63.8
2,11.2,9.3,9.4,33.3,17.6,18.9,11.6,22.2,18.8,20.1,29.2,30.7,14.9,19.2,23.7,20.2,16.1,23.2
3,10.9,9.1,9.2,33,17.5,18.4,11.3,21.5,18.2,19.5,28.1,29.1,14.6,18.7,22.7,19.5,15.3,22.3
4,12.1,10.3,10.2,34,18.1,20.7,12.9,25.1,20.9,22.4,33.1,36.7,16.3,21.1,27.9,22.8,19.2,26.7
5,14.8,12.8,12.5,35.9,19.2,25.5,16.4,33.5,26.8,29.1,45,56.2,20,26.5,41.2,30.3,29.3,37.2
6,11.8,9.9,9.9,33.8,17.9,20.1,12.4,24.1,20.2,21.6,31.8,34.6,15.8,20.4,26.5,21.9,18.1,25.5
7,13.3,11.4,11.2,34.9,18.6,22.7,14.4,28.6,23.4,25.2,38.1,44.5,17.9,23.4,33.3,25.9,23.3,31
8,15.1,13.2,12.7,36.1,19.3,26.1,16.9,34.6,27.6,30,46.6,58.9,20.5,27.2,43,31.3,30.8,38.6
9,16,14,13.4,36.7,19.6,27.7,18,37.4,29.5,32.2,50.6,66.2,21.6,28.9,47.8,33.8,34.5,42.3
10,16.2,14.2,13.6,36.8,19.7,28.1,18.3,38.2,30,32.8,51.7,68.2,21.9,29.4,49.1,34.5,35.5,43.3
11,17.5,15.5,14.7,37.6,20.2,30.5,20.2,42.8,33.1,36.4,58.3,80.7,23.8,32.2,57.2,38.6,42,49.4
12,18.1,16.1,15.2,37.9,20.4,31.5,21,44.7,34.5,37.9,61.1,86.1,24.6,33.3,60.8,40.3,44.8,52
13,19.6,17.6,16.5,38.8,20.9,34.4,23.2,50.3,38.2,42.2,69.3,102.7,26.7,36.6,71.3,45.3,53.3,59.6
14,13.8,11.8,11.6,35.2,18.8,23.6,15,30.1,24.5,26.5,40.2,48,18.5,24.4,35.7,27.3,25.1,33
15,21.8,19.8,18.3,39.9,21.5,38.4,26.3,58.5,43.5,48.4,81.2,128.3,29.7,41.2,87.3,52.6,66.5,70.9
16,13.6,11.6,11.4,35.1,18.7,23.3,14.8,29.5,24,26,39.4,46.7,18.3,24,34.8,26.8,24.4,32.2
17,13.1,11.2,11.1,34.8,18.5,22.5,14.2,28.2,23.1,24.9,37.5,43.5,17.7,23.1,32.6,25.6,22.8,30.5
18,25.6,23.8,21.5,41.7,22.6,45.6,32,73.9,53.3,59.9,104.1,181.4,35.1,49.6,119.6,66.3,93.7,92.9
19,12.7,10.8,10.7,34.5,18.3,21.7,13.6,26.9,22.2,23.9,35.7,40.6,17.1,22.3,30.6,24.4,21.3,28.9
20,12.7,10.8,10.7,34.4,18.3,21.7,13.6,26.8,22.1,23.8,35.6,40.5,17.1,22.2,30.5,24.3,21.2,28.8
21,20.1,18.1,16.9,39,21,35.3,23.8,52.1,39.3,43.6,71.8,108,27.4,37.6,74.7,46.9,56.1,62
22,12.8,10.9,10.7,34.5,18.3,21.8,13.7,27,22.3,24,35.8,40.9,17.2,22.4,30.9,24.5,21.4,29.1
23,20.4,18.4,17.1,39.1,21.1,35.7,24.2,53,39.9,44.3,73.2,110.8,27.7,38.1,76.4,47.7,57.5,63.2
24,12.7,10.8,10.7,34.4,18.3,21.7,13.6,26.8,22.1,23.8,35.6,40.5,17.1,22.2,30.5,24.3,21.2,28.8
25,19.3,17.3,16.2,38.6,20.8,33.8,22.7,49.1,37.4,41.3,67.5,99,26.2,35.9,68.9,44.2,51.4,57.9
26,12.3,10.4,10.3,34.1,18.1,20.9,13.1,25.5,21.2,22.8,33.8,37.6,16.5,21.4,28.6,23.2,19.7,27.2
27,18.9,16.8,15.8,38.3,20.6,32.9,22,47.4,36.3,40,65,94,25.6,34.9,65.8,42.8,48.9,55.6
28,11.2,9.4,9.4,33.3,17.7,19,11.7,22.5,19,20.3,29.5,31.1,15,19.3,24,20.4,16.3,23.5
29,11.9,10,10,33.8,17.9,20.2,12.5,24.3,20.3,21.8,32,35,15.9,20.6,26.7,22.1,18.3,25.7
